country,code,numeric,mean_score,std_dev,min_score,max_score,range,high_in_1990
Afghanistan,AFG,4,-3.5,3.483293461,-8,0,8,0
Albania,ALB,8,6.75862069,2.61390748,0,9,9,0
Algeria,DZA,12,-0.75862069,3.158380829,-7,2,9,0
Angola,AGO,24,-2.931034483,1.830905991,-7,0,7,0
Argentina,ARG,32,7.827586207,0.658405298,7,9,2,1
Armenia,ARM,51,4.137931034,3.102120679,-6,7,13,0
Australia,AUS,36,10,0,10,10,0,1
Austria,AUT,40,10,0,10,10,0,1
Azerbaijan,AZE,31,-5.965517241,2.179166922,-7,1,8,0
Bahrain,BHR,48,-8.586206897,1.401969059,-10,-5,5,0
Bangladesh,BGD,50,3.482758621,4.12847853,-6,6,12,0
Belarus,BLR,112,-4.655172414,4.893697565,-7,8,15,0
Belgium,BEL,56,9.172413793,1.002460028,8,10,2,1
Benin,BEN,204,6.206896552,1.473075266,-1,7,8,0
Bhutan,BTN,64,-4.068965517,6.8500836,-10,7,17,0
Bolivia,BOL,68,8.103448276,0.90019155,7,9,2,1
Bosnia and Herzegovina,BIH,70,-2,2.738612788,-5,0,5,0
Botswana,BWA,72,7.75862069,0.43549417,7,8,1,1
Brazil,BRA,76,8,0,8,8,0,1
Bulgaria,BGR,100,8.551724138,0.631676166,7,9,2,1
Burkina Faso,BFA,854,-1,3.683941988,-7,6,13,0
Burundi,BDI,108,1.310344828,4.167077155,-6,6,12,0
Cambodia,KHM,116,0.620689655,2.569238257,-7,2,9,0
Cameroon,CMR,120,-4.862068966,0.51576143,-5,-3,2,0
Canada,CAN,124,10,0,10,10,0,1
Cape Verde,CPV,132,8.896551724,2.304418544,-2,10,12,0
Central African Republic,CAF,140,1.344827586,3.948560878,-7,6,13,0
Chad,TCD,148,-1.310344828,0.712312546,-3,-1,2,0
Chile,CHL,152,9.103448276,0.90019155,8,10,2,1
China,CHN,156,-7,0,-7,-7,0,0
Colombia,COL,170,7.310344828,0.712312546,7,9,2,1
Comoros,COM,174,5.310344828,3.780622098,-3,9,12,0
Congo,COG,178,-2.793103448,3.802060629,-8,5,13,0
Costa Rica,CRI,188,10,0,10,10,0,1
Cote d'Ivoire,CIV,384,-0.620689655,4.27963444,-7,4,11,0
Croatia,HRV,191,4.482758621,6.07465866,-5,9,14,0
Cuba,CUB,192,-6.931034483,0.371390676,-7,-5,2,0
Cyprus,CYP,196,10,0,10,10,0,1
Czechia,CZE,203,9.24137931,0.912421128,7,10,3,1
Democratic Republic of Congo,COD,180,1.137931034,3.748562943,-8,5,13,0
Denmark,DNK,208,10,0,10,10,0,1
Djibouti,DJI,262,-0.75862069,4.256551022,-8,3,11,0
Dominican Republic,DOM,214,7.275862069,1.221724534,5,8,3,0
East Timor,TLS,626,7.176470588,0.808957208,6,8,2,
Ecuador,ECU,218,6.655172414,1.798329822,5,9,4,1
Egypt,EGY,818,-4.724137931,1.411598681,-6,-2,4,0
El Salvador,SLV,222,7.206896552,0.675029647,6,8,2,1
Equatorial Guinea,GNQ,226,-6,0.46291005,-7,-5,2,0
Eritrea,ERI,232,-6.692307692,0.470678724,-7,-6,1,
Estonia,EST,233,7.793103448,2.024480716,0,9,9,0
Eswatini,SWZ,748,-7.103448276,0.557086015,-9,-6,3,0
Ethiopia,ETH,231,-1,2.039607805,-3,1,4,
Fiji,FJI,242,2.275862069,4.113536467,-4,8,12,0
Finland,FIN,246,10,0,10,10,0,1
France,FRA,250,10,0,10,10,0,1
Gabon,GAB,266,-1.655172414,3.456627817,-6,3,9,0
Gambia,GMB,270,-2.75862069,5.004677615,-7,8,15,1
Georgia,GEO,268,4.448275862,2.338897892,0,7,7,0
Germany,DEU,276,10,0,10,10,0,1
Ghana,GHA,288,4.586206897,4.420061743,-7,8,15,0
Greece,GRC,300,10,0,10,10,0,1
Guatemala,GTM,320,6.965517241,2.061254102,3,8,5,0
Guinea,GIN,324,-0.517241379,3.019232278,-7,4,11,0
Guinea-Bissau,GNB,624,2.586206897,4.144852586,-8,6,14,0
Guyana,GUY,328,5.24137931,3.40855198,-7,7,14,0
Haiti,HTI,332,1.551724138,4.247572474,-7,7,14,0
Honduras,HND,340,6.689655172,0.470823615,6,7,1,1
Hungary,HUN,348,10,0,10,10,0,1
India,IND,356,8.724137931,0.454858826,8,9,1,1
Indonesia,IDN,360,3.24137931,6.910939426,-7,9,16,0
Iran,IRN,364,-4.206896552,4.160866242,-7,3,10,0
Iraq,IRQ,368,-3.409090909,6.946455697,-9,6,15,0
Ireland,IRL,372,10,0,10,10,0,1
Israel,ISR,376,6,0,6,6,0,1
Italy,ITA,380,10,0,10,10,0,1
Jamaica,JAM,388,9.103448276,0.309934047,9,10,1,1
Japan,JPN,392,10,0,10,10,0,1
Jordan,JOR,400,-2.551724138,0.631676166,-4,-2,2,0
Kazakhstan,KAZ,398,-5.379310345,1.473911053,-6,0,6,0
Kenya,KEN,404,4.206896552,5.703252896,-7,9,16,0
Kuwait,KWT,414,-7.071428571,0.377964473,-9,-7,2,
Kyrgyzstan,KGZ,417,1.172413793,4.504513336,-3,8,11,0
Laos,LAO,418,-7,0,-7,-7,0,0
Latvia,LVA,428,7.724137931,1.485562705,0,8,8,0
Lebanon,LBN,422,6,0,6,6,0,
Lesotho,LSO,426,5.862068966,3.970643506,-7,8,15,0
Liberia,LBR,430,3.034482759,2.981882898,0,7,7,0
Libya,LBY,434,-5.068965517,3.184011783,-7,0,7,0
Lithuania,LTU,440,9.655172414,1.856953382,0,10,10,0
Luxembourg,LUX,442,10,0,10,10,0,1
Madagascar,MDG,450,5.689655172,3.434108829,-6,9,15,0
Malawi,MWI,454,3.862068966,4.98371733,-9,6,15,0
Malaysia,MYS,458,4.24137931,1.299867367,3,7,4,0
Mali,MLI,466,4.517241379,2.873781601,-7,7,14,0
Mauritania,MRT,478,-4.137931034,2.474500497,-7,4,11,0
Mauritius,MUS,480,10,0,10,10,0,1
Mexico,MEX,484,6.275862069,2.86476815,0,8,8,0
Moldova,MDA,498,7.655172414,1.968971125,0,9,9,0
Mongolia,MNG,496,9.310344828,2.054671477,2,10,8,0
Montenegro,MNE,499,3.275862069,7.009669606,-7,9,16,0
Morocco,MAR,504,-5.793103448,1.264326765,-8,-4,4,0
Mozambique,MOZ,508,3.448275862,3.951366914,-7,5,12,0
Myanmar,MMR,104,-3.379310345,4.237703161,-6,8,14,0
Namibia,NAM,516,6,0,6,6,0,1
Nepal,NPL,524,4.068965517,4.131162362,-6,7,13,0
Netherlands,NLD,528,10,0,10,10,0,1
New Zealand,NZL,554,10,0,10,10,0,1
Nicaragua,NIC,558,7.75862069,1.184880115,6,9,3,1
Niger,NER,562,3.689655172,3.506152228,-4,6,10,0
Nigeria,NGA,566,1.517241379,4.881603145,-7,7,14,0
North Korea,PRK,408,-9.862068966,0.350931203,-10,-9,1,0
North Macedonia,MKD,807,7.379310345,2.795580608,-5,9,14,0
Norway,NOR,578,10,0,10,10,0,1
Oman,OMN,512,-8.448275862,0.572351471,-10,-8,2,0
Pakistan,PAK,586,3.413793103,5.660118887,-6,8,14,1
Panama,PAN,591,8.862068966,0.350931203,8,9,1,1
Papua New Guinea,PNG,598,4.24137931,0.43549417,4,5,1,0
Paraguay,PRY,600,7.379310345,1.69902899,2,9,7,0
Peru,PER,604,5.896551724,4.69304065,-4,9,13,1
Philippines,PHL,608,8,0,8,8,0,1
Poland,POL,616,9.310344828,1.105294023,5,10,5,0
Portugal,PRT,620,10,0,10,10,0,1
Qatar,QAT,634,-10,0,-10,-10,0,0
Romania,ROU,642,7.896551724,1.566270082,5,9,4,0
Russia,RUS,643,4,1.558387445,0,6,6,0
Rwanda,RWA,646,-4.379310345,1.567841854,-7,-3,4,0
Saudi Arabia,SAU,682,-10,0,-10,-10,0,0
Senegal,SEN,686,4.482758621,4.0674728,-1,8,9,0
Serbia,SRB,688,2.827586207,6.639002537,-7,8,15,0
Sierra Leone,SLE,694,2.551724138,5.428668654,-7,7,14,0
Singapore,SGP,702,-3.034482759,1.017095255,-4,-2,2,0
Slovakia,SVK,703,8.896551724,1.263352331,7,10,3,1
Slovenia,SVN,705,9.482758621,2.785430073,-5,10,15,0
Solomon Islands,SLB,90,7.142857143,2.519763153,0,8,8,1
Somalia,SOM,706,1,2.694301256,-7,5,12,0
South Africa,ZAF,710,8.586206897,1.150069606,5,9,4,0
South Korea,KOR,410,7.448275862,0.909717652,6,8,2,1
South Sudan,SSD,728,0,0,0,0,0,
Spain,ESP,724,10,0,10,10,0,1
Sri Lanka,LKA,144,4.965517241,1.017095255,3,6,3,0
Sudan,SDN,729,-4,0,-4,-4,0,
Suriname,SUR,740,4.896551724,0.557086015,2,5,3,0
Sweden,SWE,752,10,0,10,10,0,1
Switzerland,CHE,756,10,0,10,10,0,1
Syria,SYR,760,-7.75862069,1.503690042,-9,-6,3,0
Taiwan,TWN,158,8.517241379,2.836253687,-1,10,11,0
Tajikistan,TJK,762,-3.103448276,1.676408312,-6,0,6,0
Tanzania,TZA,834,-1.206896552,2.396117549,-6,3,9,0
Thailand,THA,764,4.827586207,5.120469883,-5,9,14,0
Togo,TGO,768,-2.724137931,1.306482511,-7,-2,5,0
Trinidad and Tobago,TTO,780,8.827586207,0.384425872,8,9,1,1
Tunisia,TUN,788,-1.068965517,4.712680724,-6,7,13,0
Turkey,TUR,792,6.137931034,3.786481008,-4,9,13,1
Turkmenistan,TKM,795,-8.448275862,1.681542806,-9,0,9,0
Uganda,UGA,800,-2.862068966,2.030554779,-7,-1,6,0
Ukraine,UKR,804,5.75862069,1.527256467,0,7,7,0
United Arab Emirates,ARE,784,-8,0,-8,-8,0,0
United Kingdom,GBR,826,9.793103448,0.619868093,8,10,2,1
United States,USA,840,9.793103448,0.619868093,8,10,2,1
Uruguay,URY,858,10,0,10,10,0,1
Uzbekistan,UZB,860,-8.689655172,1.671258044,-9,0,9,0
Venezuela,VEN,862,4.517241379,4.180060574,-3,9,12,1
Vietnam,VNM,704,-7,0,-7,-7,0,0
Yemen,YEM,887,-1.103448276,1.447777301,-2,3,5,0
Zambia,ZMB,894,4.655172414,3.34104199,-9,7,16,0
Zimbabwe,ZWE,716,-2.206896552,3.9131583,-6,4,10,0